category,semantic_sim_mean,semantic_sim_std,retrieval_avg_mean,top_score_mean,count
Glaucoma,0.9393590092658997,0.0,0.9004547595977783,0.9057519435882568,1
High Blood Pressure,0.8676546812057495,0.0,0.8868027687072754,0.8964358568191528,1
Osteoarthritis,0.9402243494987488,0.0,0.8872010946273804,0.9202450513839722,1
Diabetes,0.9188092947006226,0.0,0.9124267935752869,0.9201576113700867,1
Alzheimer's Disease,0.9522397518157959,0.0,0.8898767232894897,0.8991745710372925,1
Urinary Tract Infections,0.9225185811519623,0.01066330075263977,0.9097537100315094,0.9130554497241974,2
Hearing Loss,0.9529261589050293,0.0,0.891082513332367,0.91640704870224,1
Prostate Cancer,0.9499243497848511,0.0,0.8937066078186036,0.9039931297302246,1
Osteoporosis,0.837451159954071,0.0,0.892521321773529,0.9100543856620789,1
COPD,0.954142689704895,0.0,0.8928149938583374,0.9072576761245728,1
Stroke,0.9317346215248108,0.0,0.8757605433464051,0.8969707489013672,1
Age-related Macular Degeneration,0.9691566824913025,0.0,0.9281213045120239,0.9414629936218262,1
Peripheral Arterial Disease (P.A.D.),0.9870999455451965,0.0,0.9286919474601746,0.9394059181213379,1
Breast Cancer,0.9331039786338806,0.0,0.8890691637992859,0.8945229053497314,1
Dry Mouth,0.9447477459907532,0.0,0.8963065981864929,0.9068045616149902,1
Paget's Disease of Bone,0.9054328799247742,0.0,0.9149298071861267,0.9229598641395569,1
Anemia,0.92613685131073,0.0,0.8759287476539612,0.8843088150024414,1
